,날짜,누적확진자수,누적사망자수,일일확진자수,일일사망자수,search_trend
0,2020-01-01,0,0,0,0,0.01699
1,2020-01-02,0,0,0,0,0.018269999999999998
2,2020-01-03,0,0,0,0,0.02845
3,2020-01-04,0,0,0,0,0.02136
4,2020-01-05,0,0,0,0,0.01927
5,2020-01-06,0,0,0,0,0.03154
6,2020-01-07,0,0,0,0,0.03927
7,2020-01-08,0,0,0,0,0.02636
8,2020-01-09,0,0,0,0,39.621809999999996
9,2020-01-10,0,0,0,0,11.13921
10,2020-01-11,0,0,0,0,0.50434
11,2020-01-12,0,0,0,0,0.21144000000000002
12,2020-01-13,0,0,0,0,0.19244
13,2020-01-14,0,0,0,0,0.25108
14,2020-01-15,0,0,0,0,0.15535
15,2020-01-16,0,0,0,0,0.38498000000000004
16,2020-01-17,0,0,0,0,0.55043
17,2020-01-18,0,0,0,0,0.26261999999999996
18,2020-01-19,0,0,0,0,0.32661999999999997
19,2020-01-20,1,0,0,0,20.6961
20,2020-01-21,1,0,0,0,35.332840000000004
21,2020-01-22,1,0,0,0,29.744740000000004
22,2020-01-23,1,0,0,0,100.0
23,2020-01-24,2,0,1,0,86.11541
24,2020-01-25,2,0,0,0,62.84846999999999
25,2020-01-26,3,0,1,0,39.627720000000004
26,2020-01-27,4,0,1,0,57.074459999999995
27,2020-01-28,4,0,0,0,72.63073
28,2020-01-29,4,0,0,0,52.06261
29,2020-01-30,6,0,2,0,45.93889
30,2020-01-31,11,0,5,0,58.4187
31,2020-02-01,12,0,1,0,41.5073
32,2020-02-02,15,0,3,0,41.736470000000004
33,2020-02-03,15,0,0,0,50.1994
34,2020-02-04,16,0,1,0,37.288059999999994
35,2020-02-05,18,0,2,0,35.230940000000004
36,2020-02-06,23,0,5,0,39.3959
37,2020-02-07,24,0,1,0,31.71404
38,2020-02-08,24,0,0,0,40.46614
39,2020-02-09,27,0,3,0,36.07691
40,2020-02-10,27,0,0,0,52.11234
41,2020-02-11,28,0,1,0,18.13918
42,2020-02-12,28,0,0,0,15.909970000000001
43,2020-02-13,28,0,0,0,15.08472
44,2020-02-14,28,0,0,0,16.94803
45,2020-02-15,28,0,0,0,10.34468
46,2020-02-16,29,0,1,0,9.79906
47,2020-02-17,30,0,1,0,10.98521
48,2020-02-18,31,0,1,0,14.97945
49,2020-02-19,51,0,20,0,40.759859999999996
50,2020-02-20,104,1,53,1,59.21885
51,2020-02-21,204,2,100,1,72.15665
52,2020-02-22,433,2,229,0,85.23907
53,2020-02-23,602,6,169,4,82.90014000000001
54,2020-02-24,833,8,231,2,79.89478000000001
55,2020-02-25,977,12,144,4,79.95441
56,2020-02-26,1261,12,284,0,71.26268
57,2020-02-27,1766,13,505,1,71.07204
58,2020-02-28,2337,13,571,0,66.20619
59,2020-02-29,3150,17,813,4,61.040530000000004
60,2020-03-01,3736,18,586,1,56.20421999999999
61,2020-03-02,4212,22,476,4,60.86853000000001
62,2020-03-03,4812,28,600,6,47.17367
63,2020-03-04,5328,32,516,4,39.84053
64,2020-03-05,5766,35,438,3,33.24218
65,2020-03-06,6284,42,518,7,29.61647
66,2020-03-07,6767,44,483,2,26.90492
67,2020-03-08,7134,50,367,6,26.4902
68,2020-03-09,7382,51,248,1,29.792279999999998
69,2020-03-10,7513,54,131,3,28.495140000000003
70,2020-03-11,7755,60,242,6,24.02346
71,2020-03-12,7869,66,114,6,20.56511
72,2020-03-13,7979,67,110,1,19.29851
73,2020-03-14,8086,72,107,5,16.625770000000003
74,2020-03-15,8126,75,40,3,14.92164
75,2020-03-16,8236,75,110,0,16.8914
76,2020-03-17,8320,81,84,6,14.708279999999998
77,2020-03-18,8413,84,93,3,13.9044
78,2020-03-19,8565,91,152,7,18.50553
79,2020-03-20,8652,94,87,3,13.56359
80,2020-03-21,8799,102,147,8,11.28111
81,2020-03-22,8897,104,98,2,11.1433
82,2020-03-23,8961,111,64,7,11.56656
83,2020-03-24,9037,120,76,9,10.87394
84,2020-03-25,9137,126,100,6,10.51795
85,2020-03-26,9241,131,104,5,10.38105
86,2020-03-27,9332,139,91,8,10.15869
87,2020-03-28,9478,144,146,5,10.25105
88,2020-03-29,9583,152,105,8,8.86464
89,2020-03-30,9661,158,78,6,8.6911
90,2020-03-31,9786,162,125,4,8.30075
91,2020-04-01,9887,165,101,3,7.709219999999999
92,2020-04-02,9976,169,89,4,7.50622
93,2020-04-03,10062,174,86,5,7.4474100000000005
94,2020-04-04,10156,177,94,3,6.04172
95,2020-04-05,10237,183,81,6,5.55301
96,2020-04-06,10284,186,47,3,10.90885
97,2020-04-07,10331,192,47,6,6.230630000000001
98,2020-04-08,10384,200,53,8,5.6701
99,2020-04-09,10423,204,39,4,5.612369999999999
100,2020-04-10,10450,208,27,4,6.2549
101,2020-04-11,10480,211,30,3,5.82991
102,2020-04-12,10512,214,32,3,5.0084800000000005
103,2020-04-13,10537,217,25,3,5.32111
104,2020-04-14,10564,222,27,5,5.00666
105,2020-04-15,10591,225,27,3,4.97503
106,2020-04-16,10613,229,22,4,5.4570099999999995
107,2020-04-17,10635,230,22,1,4.7484
108,2020-04-18,10653,232,18,2,4.22987
109,2020-04-19,10661,234,8,2,4.90394
110,2020-04-20,10674,236,13,2,5.54437
111,2020-04-21,10683,237,9,1,4.685309999999999
112,2020-04-22,10694,238,11,1,4.734030000000001
113,2020-04-23,10702,240,8,2,4.52131
114,2020-04-24,10708,240,6,0,4.51768
115,2020-04-25,10718,240,10,0,4.13405
116,2020-04-26,10728,242,10,2,3.9534199999999995
117,2020-04-27,10738,243,10,1,4.11033
118,2020-04-28,10752,244,14,1,3.7308800000000004
119,2020-04-29,10761,246,9,2,3.7895199999999996
120,2020-04-30,10765,247,4,1,
